Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
The Guru,2024,1h 20min,Not Rated,Documentary,9,Tereza Hakobyan-Lolli,"George Farah, Kai Greene, Dexter Jackson","""The Guru"" doc follows George Farah, who survived a shooting & cancer to train athletes from his hospital bed. It highlights his resilience & mission for a safer fitness community, inspiring beyond bodybuilding.",31000,80
Imagine Dragons Live in Vegas,2023,2h 1min,TV-14,"Documentary, Music",8.3,Matt Eastin,"Imagine Dragons, Ben McKee, Daniel Platzman","Follows Imagine Dragons and the performances of the band's top-charting hits during their current ""Mercury Tour"" and old interviews. They also describe the band's development, the highs and the lows.",151592,121
Midday Black Midnight Blue,2022,1h 28min,Not Rated,Drama,6.8,Samantha Soule,"Chris Stack, Will Pullen","Isolated in an empty house, Ian remains in grief over the loss of a woman he loved who died two decades ago. The memory clamoring to be released, and his daily existence turning ever darker, Ian will have to find a way to let her go.",195002,88
Boy in the Corner,2022,1h 36min,Not Rated,"Crime, Drama",7.9,Joshy Lee,"Cyran Vergara, Victoria Shepherd, Akil Largie","The backward system of society pushes another dream-filled boy to the curb, with his aspiration suppressed, he is at risk of falling into the attractive arms of gang life.",101113,96
Born to Fly,2022,1h 36min,Not Rated,"Documentary, Biography, Sport",7.6,Brennan Robideaux,Armand Duplantis,"A child prodigy from Louisiana, who shares his father's passion for the unique sport of pole vaulting, must overcome his difficulty with handling failure in order to achieve his dream of becoming the greatest in history.",46890,96
Paper & Glue,2021,1h 34min,Not Rated,"Documentary, Biography",8.3,JR,Ladj Ly,"Using unexpected canvasses, JR's intention is to give a global voice to everyday people through a genre-blending combination of public art, photography and large format spectacle.",159772,94
Hunter from Elsewhere - a Journey with Helen Britton,2021,1h 37min,Not Rated,Documentary,8.6,Elena Alvarez Lutz,"Helen Britton, Leoncia Flynn","A poetic exploration of an excitingly unknown and highly inspiring universe. As we accompany the Australian artist around the globe, Helen Britton's incredible attention to material and detail teaches us that the closer we look at things, the more they ha",4671,97
Code of the Freaks,2020,1h 8min,Not Rated,Documentary,7.2,Salome Chasnoff,"Lawrence Carter-Long, Candace Coleman, Mike Ervin",This documentary examines the representation of disabled people in Hollywood movies.,50000,68
Eric Clapton: Across 24 Nights,2023,1h 55min,Not Rated,Music,8.6,David Barnard,"Eric Clapton, Phil Collins, Buddy Guy",Eric Clapton's legendary 1990 and 1991 Royal Albert Hall performances.,32468,115
Caillou and Penny,2021,1h 50min,Not Rated,Animation,8,Brian,Unknown,Caillou must learn to help people in need when he realizes his friend Penny isn't cheerful or happy at all.,14052,110
Life Without Hope 2,2023,Unknown,Not Rated,Action,7.2,Leo Sullivan,"Cornelius Andrews, Jennifer Ansari, Lyric Belleza","Life is a career criminal who desires to get out of the dope game and go legitimate. However, he finds himself in a deadly game of cat and mouse with a crooked cop determined to bring him down.",357237,Unknown
Pocket Mouse Protector,2022,1h 24min,M,Comedy,9.1,Paul Bright,"Aaron Jin, Timothy Krabill, Benji Patel",Larry tries to get up the courage to save endangered Pocket Mice from a resort hotel bulldozer by using an experimental drug for virility that has unexpected side effects and now men are flirting with him.,39,84
Art of Love,2023,1h 37min,Not Rated,"Action, Thriller",7.2,Adam Silvia,"Los Iglesias, Keith Van Nelson, Trinelle Bartholomew","After a government contracted hit goes wrong, the collateral damage causes Lucas Alba to retire working for the company. He may be done, but his past quickly catches up with him and the consequences put the life of his and anyone close to him in Jeopardy.",146607,97
Tiger Within,2020,1h 38min,Not Rated,Drama,8,Rafal Zielinski,"Edward Asner, Luke Eisner, Taylor Nichols","A story featuring an unlikely friendship between a homeless teen and a Holocaust survivor, sparking larger questions of fear, forgiveness, healing and world peace, starring multiple Emmy Award-winning actor, Ed Asner.",50000,98
Man Goes on Rant,2024,1h 30min,Not Rated,Drama,9.4,Peter Curtis Pardini,"Brian Villalobos, Jane Schwartz, Lawson Bennett","A man struggling with the end of a relationship goes down a fever-dream rabbit hole involving isolation, the millennium, 9/11, viruses and strange coincidences.",31000,90
Aki and Pawpaw,2021,2h 13min,Not Rated,"Comedy, Drama",6.6,Biodun Stephen,"Osita Iheme, Chinedu Ikedieze, Chioma Okafor","Relocating to the vibrant city of Lagos, two troublesome brothers search for social media fame after crossing paths with a powerful influencer.",38460,133
The Hellper,2024,1h 30min,Not Rated,Horror,8.4,Simon G.M. Li,"Sarah Wun, Miles Sible, Law Kwong Sum","A contemporary horror/chiller feature film set in Hong Kong. THE HELLPER is a story of vengeance, as a young Filipino maid takes work with an ex-pat family to exact a supernatural revenge.",31000,90
The Secret of the Djinn,2023,1h 27min,Not Rated,"Fantasy, Horror",8.3,Rui Constantino,"Miguel D. Dias, Paulo Constantino","2000 years ago, existed the Djinn, the Persian King Cyrus, defeated the Wish Keeper, that sealed itself inside a secret chamber, in the mythical mountains of Kaf, until the day a group of friends, decide to open the seal.",6729,87
Faster: Only one lap,2024,1h 30min,Not Rated,"Action, Drama, Sport",8.4,Tony Heino,"Juha Veijonen, Tiia Weckström","After 20 years of absence, a former motorcycle racer Mike Sundberg gets a chance to participate to a tryout event and a possibility to make a return to motorcycle racing.",31000,90
Emotion Is Dead,2023,1h 29min,Not Rated,"Comedy, Crime, Drama",8.5,Pete Williams,"Diing Akur, Adrian M. Barnes, Emma Clear",A teenage skateboarder suffering from a recent family tragedy comes up with a money-making scheme that embroils him in something far bigger than he ever dreamed. Only his mum and emo ex-girlfriend can save him from a terrifying fate.,56757,89
Out and About,2022,1h 23min,Not Rated,"Comedy, Drama",8.2,Peter Callahan,"Maggie Lacey, Tom Nelis",Inside the mind of a middle-aged man as he tries to come to terms with his life over the course of an afternoon walk through his hometown.,137603,83
The Art of Silence,2022,1h 21min,Not Rated,Documentary,6.8,Maurizius Staerkle Drux,"Marcel Marceau, Christoph Staerkle, Aurélia Marceau","The first feature documentary about the legendary pantomime artist Marcel Marceau. He inspires several generations of artists, among them his own grandson and family, who cast a new light on his life's work.",266273,81
This Is Not Financial Advice,2023,1h 28min,Not Rated,Documentary,6.5,Zach Ingrasci,"Senay Kenfe, Glauber Contessoto, Kayla Kilbride","Glauber Contessoto gambles his life savings on a joke cryptocurrency. Two months later, he becomes ""The Dogecoin Millionaire"" and an internet legend. While it might seem easy to get rich online, it's even easier to lose it all.",87081,88
Masas,2022,1h 44min,Not Rated,Drama,7.4,Linda Olte,"Emma Skirmante, Gerda Aljena, Katrina Kreslina","Just when teenage sisters and orphanage residents Anastasia and Diana learn that an American family is ready to adopt them, their biological mother returns.",255636,104
I Am Alfred Hitchcock,2021,1h 24min,Not Rated,"Documentary, Biography, History",7.4,Joel Ashton McCarthy,"Ingrid Bergman, Tere Carrubba, William Friedkin",A documentary showcasing the epic and at times controversial career of masterful director Alfred Hitchcock.,147708,84
Disfluency,2021,1h 35min,Not Rated,Drama,8.6,Anna Baumgarten,"Libe Barer, Ariela Barer, Chelsea Alden","When Jane fails her final college class, she returns home to her parent's lake house where she comes to terms with the confusing trauma that derailed her senior year.",131045,95
It'll Never Work,2024,57min,Not Rated,"Documentary, Biography",9.5,Joe Osborn,"Hans Unkles, Dougie Chirnside, Heather Unkles","A small film, but a powerful one. It's a real story, a drama, a documentary, a thriller, a comedy, a snatch of real life, a tragedy, a feel-good story and an environmental statement all set in the West Coast of Scotland's fishing industry.",31000,57
Mr. Dressup: The Magic of Make-Believe,2023,1h 30min,Not Rated,Documentary,8.5,Robert McCallum,"Craig Baird, Lilly Barnes, Sandra Beech","Take a detailed look about at famed, iconic television show from Canada that impacted multiple generations across its 39 year presence on television and its on-going legacy.",167612,90
Peter O'Toole: Along the Sky Road to Aqaba,2022,1h 30min,Not Rated,Documentary,6.5,Jim Sheridan,"Peter O'Toole, Siân Phillips, Anthony Hopkins","Reflecting Peter O'Toole's theatrical legacy, this feature documentary is structured into four acts, each introduced by a quote about O'Toole that encapsulates his life during a specific period.",277565,90
Group,2023,1h 59min,Not Rated,Horror,8.8,William R A Rush,"Don Scribner, Haulston Mann, Michael Lake","At a group meeting for recovering addicts, not everyone is telling the full truth about their reasons for attending. As each participant takes part, the truth of their pasts and experiences become disturbingly clear as each tries to benefit from the sessi",75,119
Egghead & Twinkie,2023,1h 27min,Not Rated,Comedy,7.5,Sarah Kambe Holland,"Bryson JonSteele, Louis Tomeo, Carlos Basil","After coming out to her parents, an Asian American teenage girl takes off on a road trip to meet her online crush with the help of her nerdy best friend.",63405,87
Nyctophobia,2024,1h 30min,Not Rated,"Drama, Fantasy, Horror",8.3,Seayoon Jeong,"Olivia Clari Nice, Soulo Smith, Christopher Gilbert","As Liz struggles with nyctophobia (fear of the dark), an anxiety disorder that disrupts her sleep, she desperately tries to fall asleep.",31000,90
Dadiwonisi (We Will Speak),2023,1h 34min,Not Rated,Documentary,9.7,Schon Duncan,"Dakota Brown, Dakota Bryson, Kyle Chapa","A feature-length documentary chronicling the efforts of Cherokee activists, artists, and educators fighting to save the Cherokee language.",47,94
Nowheresville,2020,1h 48min,Not Rated,Thriller,6.9,Kevin McVey,"Andrea Jungert, Barbara Ann Kaye, Tom Sizemore","The lives of a middle-aged woman and her best friend are turned upside down after they stumble onto a dead body and nearly one million dollars in cold, hard cash and are forced to make choices that will change them forever.",50000,108
Coming Clean,2020,1h 50min,Not Rated,Documentary,8,Ondi Timoner,"Destiny Garcia, Sim Gill, Carl Henry","""Coming Clean"" examines America's opioid crisis through the eyes of the recovering addicts and political leaders on the frontlines. These unlikely allies emerge from the darkness to face their pain, bring the profiteers to justice, and rebuild in the wake",50000,110
Tanzania: The Royal Tour,2022,Unknown,Not Rated,Documentary,8.2,John Feist,Unknown,"Tanzania: The Royal Tour, the latest in a series of global television events, hosted by Peter Greenberg with the President of Tanzania Samia Suluhu Hassan as his very special guide. An epic journey through this remarkable country through the eyes of its l",25898,Unknown
Hotel Labamba,2023,1h 36min,Not Rated,"Comedy, Crime",6.8,Biodun Stephen,"Femi Adebayo, Abdularhamon Adedimeji, Lateef Adedimeji","Posh and suave, Halil Omar who is in town to seal a deal, and has his friends visiting, and Pearl who is on a clandestine meeting with her husband's best friend are also lodged in the hotel.",312276,96
Running the Rat Race,2022,1h 53min,Not Rated,"Comedy, Drama",7.4,Ryan Gilmore,"Nicholas Gilomen, Isaac K. Miller, Foster Hewitt","Lucas Lewandowski is a track-and-field runner too busy running from his mundane life. When he meets a mentor named Amelia, everything changes; he must make tough decisions on what he should do with his situation. Meanwhile, John King aspires to open up hi",219618,113
Belle Vie,2022,1h 17min,Not Rated,Documentary,6.9,Marcus Mizelle,"Cedric Nicolas, Ornella Samarco, Vincent Samarco","2023 Emmy Winner. A much loved Parisian-style bistro located in Los Angeles between a thriving McDonalds and KFC, Belle Vie is owned and operated by the charming and hopeful Vincent Samarco, who struggles to adapt, survive and keep the bistro alive in the",339684,77
Air B&D,2023,1h 39min,16+,Thriller,7.4,David C. Snyder,"Brittany Mayti, Heybert Flex, Demaris Harvey","A successful social media influencer rents out her home while she's on vacation. When she returns, she discovers that her house guest refuses to leave.",108602,99
Oppenheimer After Trinity,2023,58min,Not Rated,Documentary,8,Trent DiGiulio,"J. Robert Oppenheimer, Brian Stivale","This documentary film, produced by award-winning producer Larry L. Sheffield, explores events that occurred immediately after the testing of the world's first atomic bomb in July of 1945.",120488,58
